,order_id,product_category,product_id,order_date,delivery_date,amount,qty,valid_delivered_qty,unit_price
50,50,4,61,2020-08-24,2020-08-27,809976.3781148427,15.0,15.0,53998.42520765618
51,51,4,58,2020-08-24,2020-08-27,2015941.2077524967,20.0,20.0,100797.06038762484
52,52,4,45,2020-08-24,2020-09-04,1517283.7504348618,25.0,25.0,60691.35001739447
53,53,4,46,2020-08-24,2020-09-11,3729260.8410612345,30.0,30.0,124308.69470204115
54,54,3,73,2020-08-25,2020-08-27,778346.5480562645,480.0,480.0,1621.5553084505511
55,55,4,48,2020-08-26,2020-08-28,35707.48905364124,1.0,1.0,35707.48905364124
59,59,4,1,2020-08-28,2020-09-03,2738748.613587029,30.0,30.0,91291.62045290096
58,58,4,47,2020-08-28,2020-09-04,3529947.526398595,10.0,10.0,352994.7526398595
56,56,4,1,2020-08-28,2020-09-03,1965808.0248660431,10.0,10.0,196580.8024866043
57,57,4,71,2020-08-28,2020-09-03,1506348.254121047,5.0,5.0,301269.6508242094
60,60,0,8,2020-08-31,2020-09-10,225052.37781133855,2.0,2.0,112526.18890566927
61,61,4,58,2020-09-01,2020-09-03,203008.3942680458,1.0,1.0,203008.3942680458
62,62,4,58,2020-09-01,2020-09-03,203008.3942680458,1.0,1.0,203008.3942680458
63,63,4,48,2020-09-03,2020-09-03,820.6357180358755,1.0,1.0,820.6357180358755
66,66,4,48,2020-09-03,2020-09-03,820.6357180358755,1.0,1.0,820.6357180358755
65,65,4,48,2020-09-03,2020-09-03,820.6357180358755,1.0,1.0,820.6357180358755
64,64,4,48,2020-09-03,2020-09-03,820.6357180358755,1.0,1.0,820.6357180358755
67,67,4,40,2020-09-08,2020-12-01,19168.096439673405,1.0,1.0,19168.096439673405
68,68,4,41,2020-09-08,2020-12-01,93049.01184307478,4.0,4.0,23262.252960768696
69,69,4,0,2020-09-08,2020-09-17,991279.4067846158,30.0,30.0,33042.64689282053
71,71,4,45,2020-09-10,2020-09-14,929379.8998332964,15.0,15.0,61958.65998888643
70,70,4,61,2020-09-10,2020-09-16,826889.6802635621,15.0,15.0,55125.978684237474
72,72,4,46,2020-09-14,2020-09-21,4497269.395461446,20.0,20.0,224863.46977307228
77,77,2,102,2020-09-16,2020-09-26,55167.86606976454,1.0,1.0,55167.86606976454
76,76,2,125,2020-09-16,2020-09-26,166464.71085859265,4.0,4.0,41616.17771464816
73,73,2,83,2020-09-16,2020-09-26,497664.1298070396,6.0,6.0,82944.0216345066
74,74,2,86,2020-09-16,2020-09-26,233358.1512498054,4.0,4.0,58339.53781245135
75,75,2,94,2020-09-16,2020-09-26,240278.1623247584,4.0,4.0,60069.5405811896
79,79,3,73,2020-09-25,2020-09-30,807209.3714173697,480.0,480.0,1681.6861904528535
80,80,4,1,2020-09-25,2020-09-29,3975166.1767246015,20.0,20.0,198758.30883623008
78,78,2,80,2020-09-25,2020-10-04,1041298.4155300908,5.0,5.0,208259.68310601817
81,81,4,46,2020-09-28,2020-10-06,4547320.312571456,20.0,20.0,227366.0156285728
82,82,4,58,2020-09-28,2020-09-29,2072547.9252449465,10.0,10.0,207254.79252449464
84,84,4,50,2020-09-30,2020-10-06,187880.239306794,2.0,2.0,93940.119653397
83,83,4,1,2020-09-30,2020-10-06,2671849.9795348854,28.0,28.0,95423.21355481734
92,92,4,26,2020-10-07,2020-10-09,888748.4826328531,5.0,5.0,177749.69652657062
91,91,4,58,2020-10-07,2020-10-12,531467.3253087124,5.0,5.0,106293.46506174249
93,93,4,61,2020-10-07,2020-10-12,234352.7948119852,2.0,2.0,117176.3974059926
87,87,4,47,2020-10-07,2020-10-13,1834830.201505437,5.0,5.0,366966.0403010874
94,94,4,45,2020-10-07,2020-10-13,1075583.572959772,10.0,10.0,107558.35729597721
88,88,4,46,2020-10-07,2020-10-13,1966307.6253964507,15.0,15.0,131087.17502643005
85,85,4,43,2020-10-07,2020-10-13,1233763.433752368,10.0,10.0,123376.3433752368
90,90,4,71,2020-10-07,2020-10-12,1565968.474022121,5.0,5.0,313193.6948044242
89,89,4,61,2020-10-07,2020-10-12,569429.2771164775,10.0,10.0,56942.927711647746
86,86,4,45,2020-10-07,2020-10-13,320004.0689587373,5.0,5.0,64000.81379174746
95,95,3,73,2020-10-12,2020-10-21,805644.6959662822,480.0,480.0,1678.4264499297544
96,96,4,61,2020-10-14,2020-10-27,1121068.8131373734,20.0,20.0,56053.44065686867
97,97,4,45,2020-10-14,2020-10-16,315005.38890742674,5.0,5.0,63001.07778148535
98,98,4,45,2020-10-14,2020-10-16,529391.1149397304,5.0,5.0,105878.22298794608
99,99,4,58,2020-10-14,2020-10-26,523165.4461307743,5.0,5.0,104633.08922615486
100,100,4,1,2020-10-14,2020-10-27,4023381.442092456,20.0,20.0,201169.07210462278
101,101,4,46,2020-10-14,2020-10-16,1935592.5700104637,15.0,15.0,129039.50466736425
102,102,3,73,2020-10-19,2020-10-22,815434.3765960815,480.0,480.0,1698.8216179085032
108,108,4,50,2020-10-22,2020-10-28,2037627.9440107064,10.0,10.0,203762.79440107063
109,109,4,50,2020-10-22,2020-10-28,939220.656676002,10.0,10.0,93922.0656676002
106,106,4,45,2020-10-22,2020-10-29,696718.3913814104,11.0,11.0,63338.03558012822
107,107,4,45,2020-10-22,2020-10-29,958000.56155037,9.0,9.0,106444.50683893
104,104,4,0,2020-10-22,2020-10-26,338119.43640336074,10.0,10.0,33811.943640336074
105,105,4,1,2020-10-22,2020-10-27,2022450.1381988225,10.0,10.0,202245.01381988224
103,103,4,61,2020-10-22,2020-10-27,563532.3940056013,10.0,10.0,56353.23940056013
110,110,4,32,2020-10-23,2020-10-27,155100.15070878045,1.0,1.0,155100.15070878045
111,111,4,63,2020-10-26,2020-10-28,352436.32920378644,1.0,1.0,352436.32920378644
114,114,4,0,2020-10-29,2020-11-03,337022.2874801327,10.0,10.0,33702.22874801327
112,112,4,47,2020-10-29,2020-11-03,3619874.006598277,10.0,10.0,361987.4006598277
113,113,4,71,2020-10-29,2020-11-03,1544722.9312047726,5.0,5.0,308944.5862409545
115,115,4,42,2020-10-29,2020-11-03,978697.7440739728,10.0,10.0,97869.77440739729
116,116,4,32,2020-11-06,2020-11-24,155100.15070878045,1.0,1.0,155100.15070878045
119,119,4,0,2020-11-10,2020-11-16,1013638.2013675058,30.0,30.0,33787.94004558353
118,118,4,26,2020-11-10,2020-11-11,1777496.9652657062,10.0,10.0,177749.69652657062
117,117,4,21,2020-11-10,2020-11-11,646660.9458122698,10.0,10.0,64666.09458122698
120,120,4,63,2020-11-16,2020-11-19,1067927.1931670257,3.0,3.0,355975.73105567525
121,121,3,73,2020-11-24,2020-11-30,594283.8177192328,360.0,360.0,1650.7883825534243
122,122,4,32,2020-11-24,2020-11-26,174795.40794164146,1.0,1.0,174795.40794164146
123,123,4,45,2020-12-02,2020-12-04,631646.1057474993,10.0,10.0,63164.610574749924
124,124,4,46,2020-12-02,2020-12-04,2315396.302030669,10.0,10.0,231539.63020306692
127,127,4,45,2020-12-02,2020-12-04,631615.6681717647,10.0,10.0,63161.56681717647
128,128,4,46,2020-12-02,2020-12-04,1293682.2008620126,10.0,10.0,129368.22008620125
125,125,4,61,2020-12-03,2020-12-08,231276.7137237468,2.0,2.0,115638.3568618734
126,126,4,58,2020-12-03,2020-12-08,211047.56903206356,1.0,1.0,211047.56903206356
129,129,4,71,2020-12-07,2020-12-08,586406.2540810689,5.0,5.0,117281.25081621378
130,130,4,1,2020-12-07,2020-12-08,1993767.9309053645,10.0,10.0,199376.79309053643
131,131,4,43,2020-12-07,2020-12-08,2138045.483635556,10.0,10.0,213804.5483635556
132,132,4,50,2020-12-07,2020-12-08,1004365.2432151577,5.0,5.0,200873.04864303154
135,135,4,50,2020-12-08,2020-12-08,820.6357180358755,1.0,1.0,820.6357180358755
133,133,4,50,2020-12-08,2020-12-08,820.6357180358755,1.0,1.0,820.6357180358755
134,134,4,50,2020-12-08,2020-12-08,820.6357180358755,1.0,1.0,820.6357180358755
136,136,4,30,2020-12-11,2020-12-17,894164.6783718899,6.0,6.0,149027.44639531497
137,137,4,46,2020-12-14,2020-12-16,2251109.603754604,10.0,10.0,225110.9603754604
138,138,4,46,2020-12-14,2020-12-16,1257823.8826726698,10.0,10.0,125782.38826726699
139,139,4,50,2020-12-14,2020-12-16,1975629.1553520907,10.0,10.0,197562.91553520906
140,140,4,1,2020-12-14,2020-12-22,3921826.3275353513,20.0,20.0,196091.31637676756
141,141,4,58,2020-12-14,2020-12-22,1019920.2088208564,10.0,10.0,101992.02088208564
142,142,3,73,2020-12-15,2020-12-17,762749.9970357978,480.0,480.0,1589.0624938245787
147,147,4,45,2020-12-18,2020-12-21,926499.3983478748,15.0,15.0,61766.626556524985
143,143,2,80,2020-12-18,2020-12-27,210732.84628594085,1.0,1.0,210732.84628594085
144,144,2,93,2020-12-18,2020-12-27,124816.53312553736,2.0,2.0,62408.26656276868
145,145,2,102,2020-12-18,2020-12-27,286387.7105346784,5.0,5.0,57277.54210693568
146,146,2,124,2020-12-18,2020-12-27,43214.69280299341,1.0,1.0,43214.69280299341
148,148,4,46,2020-12-18,2020-12-21,1265110.8800824925,10.0,10.0,126511.08800824925
150,150,4,37,2020-12-28,2021-01-27,107995.6604935212,1.0,1.0,107995.6604935212
149,149,4,24,2020-12-28,2021-01-27,397187.6875293637,5.0,5.0,79437.53750587275
151,151,4,47,2021-01-11,2021-03-18,3601231.8728236426,10.0,10.0,360123.18728236423
152,152,4,0,2021-01-12,2021-01-13,335357.176576452,10.0,10.0,33535.7176576452
153,153,3,73,2021-01-19,2021-01-20,804211.5288761425,480.0,480.0,1675.4406851586302
154,154,3,73,2021-01-22,2021-01-27,797643.9853018344,480.0,480.0,1661.758302712155
155,155,4,43,2021-02-01,2021-02-02,2186237.005812784,10.0,10.0,218623.70058127842
156,156,4,42,2021-02-01,2021-02-02,989776.6087138586,10.0,10.0,98977.66087138586
157,157,4,1,2021-02-09,2021-02-12,3949577.021919257,20.0,20.0,197478.85109596286
158,158,3,73,2021-02-15,2021-02-17,803823.4121643351,480.0,480.0,1674.6321086756982
159,159,4,21,2021-02-16,2021-02-17,646660.9458122698,10.0,10.0,64666.09458122698
160,160,3,73,2021-02-18,2021-02-20,400982.7264456428,240.0,240.0,1670.7613601901785
163,163,4,50,2021-03-09,2021-03-18,2968751.429318412,15.0,15.0,197916.76195456082
161,161,4,45,2021-03-09,2021-03-17,922812.6469870304,15.0,15.0,61520.84313246869
162,162,4,46,2021-03-09,2021-03-18,1260076.7167931476,10.0,10.0,126007.67167931476
164,164,3,73,2021-03-10,2021-03-12,807369.7334918294,480.0,480.0,1682.020278107978
165,165,2,83,2021-03-12,2021-03-21,173436.34880375423,2.0,2.0,86718.17440187711
166,166,4,26,2021-03-16,2021-03-18,2666245.4478985597,15.0,15.0,177749.69652657065
167,167,4,0,2021-03-16,2021-03-18,324226.1557605852,10.0,10.0,32422.61557605852
168,168,4,1,2021-03-16,2021-03-24,2909043.529792173,15.0,15.0,193936.23531947818
188,188,4,42,2021-03-25,2021-04-08,960771.6670901058,10.0,10.0,96077.16670901058
186,186,4,46,2021-03-25,2021-04-08,4543663.740351746,20.0,20.0,227183.1870175873
179,179,4,58,2021-03-25,2021-04-01,212636.6442352836,1.0,1.0,212636.6442352836
187,187,4,47,2021-03-25,2021-04-08,1194733.5886847228,10.0,10.0,119473.35886847228
189,189,4,43,2021-03-25,2021-04-08,2122170.35059885,10.0,10.0,212217.03505988498
172,172,4,0,2021-03-25,2021-03-31,521805.79044866224,10.0,10.0,52180.57904486622
175,175,4,71,2021-03-25,2021-03-31,3038722.7681632154,10.0,10.0,303872.27681632154
171,171,4,48,2021-03-25,2021-03-30,364646.7321795858,10.0,10.0,36464.67321795858
169,169,4,45,2021-03-25,2021-03-30,620974.9684002093,10.0,10.0,62097.49684002093
174,174,4,58,2021-03-25,2021-03-31,1062028.0825225562,10.0,10.0,106202.80825225562
185,185,4,45,2021-03-25,2021-04-08,1239523.2318986754,20.0,20.0,61976.16159493377
170,170,4,46,2021-03-25,2021-03-31,1271887.8018423952,10.0,10.0,127188.78018423953
173,173,4,61,2021-03-25,2021-04-01,570911.5503821798,10.0,10.0,57091.15503821798
177,177,4,50,2021-03-29,2021-03-30,1986382.5257816983,10.0,10.0,198638.25257816984
178,178,4,1,2021-03-29,2021-03-31,1971601.0844940671,10.0,10.0,197160.10844940672
176,176,3,73,2021-03-29,2021-04-01,411803.7900057943,240.0,240.0,1715.849125024143
180,180,4,58,2021-04-02,2021-04-06,211692.56028618355,1.0,1.0,211692.56028618355
182,182,4,46,2021-04-02,2021-04-02,1260344.5065093555,10.0,10.0,126034.45065093556
183,183,4,67,2021-04-02,2021-04-06,194659.8256478957,2.0,2.0,97329.91282394785
181,181,3,73,2021-04-02,2021-04-05,824147.8993554772,480.0,480.0,1716.9747903239108
196,196,4,71,2021-04-05,2021-04-08,1516392.631792148,5.0,5.0,303278.52635842963
190,190,4,32,2021-04-05,2021-04-15,349590.8158832829,2.0,2.0,174795.40794164146
193,193,4,1,2021-04-05,2021-04-08,1993815.526037263,10.0,10.0,199381.5526037263
194,194,4,63,2021-04-05,2021-04-08,336976.6305453684,1.0,1.0,336976.6305453684
197,197,4,63,2021-04-05,2021-04-06,336976.6305453684,1.0,1.0,336976.6305453684
184,184,4,32,2021-04-05,2021-04-12,349590.8158832829,2.0,2.0,174795.40794164146
192,192,4,58,2021-04-05,2021-04-08,2132139.942883505,10.0,10.0,213213.9942883505
195,195,4,70,2021-04-05,2021-04-08,1592987.921188563,10.0,10.0,159298.7921188563
191,191,4,61,2021-04-05,2021-04-07,821006.2177307422,10.0,10.0,82100.62177307422
198,198,4,67,2021-04-07,2021-04-08,98676.02989432674,1.0,1.0,98676.02989432674
199,199,4,67,2021-04-09,2021-04-12,100248.48521041647,1.0,1.0,100248.48521041647
200,200,4,63,2021-04-12,2021-04-15,1035633.42200903,3.0,3.0,345211.14066967665
201,201,4,22,2021-04-12,2021-04-15,52723.0875477924,1.0,1.0,52723.0875477924
202,202,4,45,2021-04-12,2021-04-15,1269812.7703330352,20.0,20.0,63490.63851665176
203,203,4,46,2021-04-12,2021-04-16,2600844.567649954,20.0,20.0,130042.2283824977
204,204,4,63,2021-04-19,2021-04-20,680487.308954414,2.0,2.0,340243.654477207
209,209,4,46,2021-04-26,2021-04-29,2563628.8814811027,20.0,20.0,128181.44407405514
207,207,4,1,2021-04-26,2021-04-28,1998328.6383632931,10.0,10.0,199832.8638363293
206,206,4,0,2021-04-26,2021-04-28,525878.3019148841,10.0,10.0,52587.830191488414
205,205,4,58,2021-04-26,2021-04-28,2152987.3726644884,10.0,10.0,215298.73726644885
208,208,4,43,2021-04-26,2021-04-28,1206415.3381309635,10.0,10.0,120641.53381309635
213,213,4,1,2021-04-30,2021-05-04,1991341.9232485525,10.0,10.0,199134.19232485525
214,214,4,0,2021-04-30,2021-05-04,524039.68447730783,10.0,10.0,52403.96844773078
210,210,4,50,2021-04-30,2021-05-04,2006271.36508828,10.0,10.0,200627.136508828
211,211,4,48,2021-04-30,2021-05-04,366207.8151964697,10.0,10.0,36620.781519646975
212,212,4,43,2021-04-30,2021-05-04,1202197.3731197238,10.0,10.0,120219.73731197238
225,225,4,71,2021-05-11,2021-05-12,1514943.7994319557,5.0,5.0,302988.7598863911
226,226,4,1,2021-05-11,2021-05-12,1977087.964147882,10.0,10.0,197708.7964147882
223,223,4,61,2021-05-11,2021-05-12,820221.7900362067,10.0,10.0,82022.17900362067
224,224,4,58,2021-05-11,2021-05-12,2130102.796777053,10.0,10.0,213010.2796777053
221,221,4,46,2021-05-11,2021-05-17,4539322.511752478,20.0,20.0,226966.1255876239
222,222,4,47,2021-05-11,2021-05-17,1775088.1123748966,5.0,5.0,355017.6224749793
219,219,4,43,2021-05-11,2021-05-17,1193592.0844009349,10.0,10.0,119359.20844009348
217,217,4,67,2021-05-11,2021-05-12,195872.5009003252,2.0,2.0,97936.2504501626
218,218,4,26,2021-05-11,2021-05-12,1777496.9652657062,10.0,10.0,177749.69652657062
216,216,4,63,2021-05-11,2021-05-12,673309.3346606991,2.0,2.0,336654.66733034956
220,220,4,45,2021-05-11,2021-05-17,619169.4667486843,10.0,10.0,61916.94667486843
215,215,4,21,2021-05-11,2021-05-12,646660.9458122698,10.0,10.0,64666.09458122698
227,227,3,73,2021-05-12,2021-05-18,806203.209033092,480.0,480.0,1679.5900188189416
228,228,1,36,2021-05-13,2021-05-23,847998.6955255159,1.0,1.0,847998.6955255159
229,229,4,45,2021-05-17,2021-05-19,619991.9730566012,10.0,10.0,61999.19730566013
230,230,4,47,2021-05-17,2021-05-19,3199403.0591582684,9.0,9.0,355489.22879536316
231,231,4,1,2021-05-17,2021-05-20,3959428.665742129,20.0,20.0,197971.43328710645
232,232,4,0,2021-05-17,2021-05-20,520979.7786311485,10.0,10.0,52097.97786311485
233,233,4,47,2021-05-17,2021-05-19,119517.76551876449,1.0,1.0,119517.76551876449
234,234,3,73,2021-05-18,2021-05-25,240872.7327630569,144.0,144.0,1672.727310854562
238,238,4,48,2021-05-24,2021-05-25,365368.1694520256,10.0,10.0,36536.81694520256
240,240,4,50,2021-05-24,2021-05-25,1107176.271066744,12.0,12.0,92264.68925556201
239,239,4,50,2021-05-24,2021-05-25,1601337.0893093655,8.0,8.0,200167.1361636707
236,236,4,21,2021-05-24,2021-05-26,646660.9458122698,10.0,10.0,64666.09458122698
235,235,4,32,2021-05-24,2021-05-26,359438.4444997134,2.0,2.0,179719.2222498567
237,237,4,45,2021-05-24,2021-05-25,622203.5396389484,10.0,10.0,62220.35396389484
241,241,4,1,2021-05-31,2021-06-04,3961558.0344966697,20.0,20.0,198077.90172483347
242,242,4,0,2021-05-31,2021-06-04,521259.9599795241,10.0,10.0,52125.99599795241
243,243,4,71,2021-05-31,2021-06-04,1517772.069144434,5.0,5.0,303554.4138288868
244,244,4,46,2021-05-31,2021-06-01,4547797.036272777,20.0,20.0,227389.85181363887
245,245,4,45,2021-05-31,2021-06-01,620325.4028635114,10.0,10.0,62032.54028635113
246,246,4,47,2021-05-31,2021-06-01,597910.2090568983,5.0,5.0,119582.04181137965
247,247,3,73,2021-06-01,2021-06-04,796851.444453354,480.0,480.0,1660.1071759444874
248,248,3,73,2021-06-03,2021-06-10,399520.49401600455,240.0,240.0,1664.6687250666857
249,249,4,32,2021-06-04,2021-06-22,718876.8889994269,4.0,4.0,179719.2222498567
250,250,4,22,2021-06-04,2021-06-17,114889.00052502257,2.0,2.0,57444.50026251128
251,251,4,32,2021-06-07,2021-06-22,359438.4444997134,2.0,2.0,179719.2222498567
252,252,4,45,2021-06-10,2021-06-14,1214893.6990247676,20.0,20.0,60744.68495123838
253,253,4,32,2021-06-11,2021-06-22,718876.8889994269,4.0,4.0,179719.2222498567
254,254,4,22,2021-06-15,2021-06-17,114889.00052502257,2.0,2.0,57444.50026251128
255,255,4,45,2021-06-15,2021-06-18,1208197.4323631723,20.0,20.0,60409.87161815861
256,256,4,46,2021-06-15,2021-06-18,2474643.350599031,20.0,20.0,123732.16752995155
257,257,4,1,2021-06-15,2021-06-17,964482.556925389,5.0,5.0,192896.51138507779
258,258,4,0,2021-06-15,2021-06-17,507624.6614549501,10.0,10.0,50762.46614549501
259,259,4,46,2021-06-15,2021-06-18,1237321.6752995157,10.0,10.0,123732.16752995158
260,260,4,1,2021-06-15,2021-06-17,1198786.0455865688,15.0,15.0,79919.06970577125
265,265,4,63,2021-06-22,2021-06-23,326831.02801976254,1.0,1.0,326831.02801976254
263,263,4,58,2021-06-22,2021-06-23,2067946.042094436,10.0,10.0,206794.6042094436
261,261,4,45,2021-06-22,2021-06-24,601101.9984979054,10.0,10.0,60110.199849790544
262,262,4,46,2021-06-22,2021-06-24,1231183.7649788172,10.0,10.0,123118.37649788172
264,264,4,0,2021-06-22,2021-06-23,505106.5170541975,10.0,10.0,50510.65170541975
268,268,4,50,2021-06-23,2021-06-25,1937647.414225827,10.0,10.0,193764.7414225827
306,306,4,61,2021-06-23,2021-07-21,558602.5480248585,10.0,10.0,55860.25480248585
270,270,4,61,2021-06-23,2021-06-25,553744.1999310495,10.0,10.0,55374.41999310495
269,269,4,1,2021-06-23,2021-06-25,1595755.027558721,20.0,20.0,79787.75137793605
267,267,4,42,2021-06-23,2021-06-25,387027.8977763246,5.0,5.0,77405.57955526492
307,307,4,58,2021-06-23,2021-07-21,1039130.4792728748,10.0,10.0,103913.04792728748
266,266,4,45,2021-06-23,2021-06-24,1204604.414900329,20.0,20.0,60230.22074501645
272,272,4,45,2021-06-29,2021-07-09,596062.5044245872,10.0,10.0,59606.250442458724
275,275,4,0,2021-06-29,2021-07-21,951656.4692628512,19.0,19.0,50087.18259278164
274,274,4,50,2021-06-29,2021-07-09,1917573.8626374456,10.0,10.0,191757.38626374456
273,273,4,47,2021-06-29,2021-07-09,3417686.1833723243,10.0,10.0,341768.61833723244
276,276,4,1,2021-06-29,2021-07-01,1579223.3971738827,20.0,20.0,78961.16985869413
277,277,4,47,2021-06-29,2021-07-02,574770.0769489198,5.0,5.0,114954.01538978396
271,271,4,43,2021-06-29,2021-07-09,1149048.0802054123,10.0,10.0,114904.80802054124
279,279,4,46,2021-06-29,2021-07-12,4371789.631439168,20.0,20.0,218589.4815719584
278,278,4,45,2021-06-29,2021-07-09,596317.7650029063,10.0,10.0,59631.77650029063
280,280,4,61,2021-07-01,2021-07-12,548242.227243585,10.0,10.0,54824.22272435851
281,281,4,58,2021-07-01,2021-07-12,1019857.8763516536,10.0,10.0,101985.78763516535
282,282,4,71,2021-07-01,2021-07-12,577719.9738361529,5.0,5.0,115543.99476723059
284,284,4,45,2021-07-05,2021-07-15,2024596.718031388,20.0,20.0,101229.8359015694
291,291,4,46,2021-07-05,2021-07-15,2208011.7525436543,10.0,10.0,220801.17525436543
293,293,4,48,2021-07-05,2021-07-09,353420.5832712843,10.0,10.0,35342.05832712843
292,292,4,45,2021-07-05,2021-07-15,602351.3226291906,10.0,10.0,60235.13226291906
290,290,4,32,2021-07-05,2021-07-06,359438.4444997134,2.0,2.0,179719.2222498567
288,288,4,0,2021-07-05,2021-07-21,1012312.650353898,20.0,20.0,50615.632517694896
286,286,4,47,2021-07-05,2021-07-16,1161171.2290884915,10.0,10.0,116117.12290884915
285,285,4,46,2021-07-05,2021-07-16,2467485.2889784933,20.0,20.0,123374.26444892466
289,289,4,1,2021-07-05,2021-07-08,1595885.1545828143,20.0,20.0,79794.25772914072
283,283,4,42,2021-07-05,2021-07-09,774118.9165050624,10.0,10.0,77411.89165050624
287,287,4,43,2021-07-05,2021-07-15,1161171.2290884915,10.0,10.0,116117.12290884915
294,294,3,73,2021-07-09,2021-07-13,817493.3828485513,480.0,480.0,1703.111214267815
295,295,4,48,2021-07-12,2021-07-13,716072.8013699698,20.0,20.0,35803.64006849849
296,296,4,32,2021-07-15,2021-07-16,718876.8889994269,4.0,4.0,179719.2222498567
297,297,4,22,2021-07-15,2021-07-16,50201.733542270245,1.0,1.0,50201.733542270245
